time,t1:pitch,t1:roll,t1:gyrx,t1:gyry,t1:gyrz,t2:pitch,t2:roll,t2:gyrx,t2:gyry,t2:gyrz,k1:pitch,k1:roll,k1:gyrx,k1:gyry,k1:gyrz,k2:pitch,k2:roll,k2:gyrx,k2:gyry,k2:gyrz,W:pitch,W:roll,W:gyrx,W:gyry,W:gyrz,B:pitch,B:roll,B:gyrx,B:gyry,B:gyrz
1.316,6.6366916313556,92.99005031786169,-0.03816793893129771,0.5114503816793893,0.2366412213740458,170.5609268975789,104.7445407335419,0.0,-0.007633587786259542,0.0,-63.65818938025875,165.91846099839265,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,178.10035219690377,128.6234270548076,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.49,92.02,-4.0,-3.0,0.0,
1.354,6.652010721784139,93.42952042784262,-0.03816793893129771,0.5114503816793893,0.2366412213740458,170.8560628774991,104.87152542868945,0.0,-0.015267175572519083,0.0,-63.76565191722505,166.18351074996127,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,178.38555892477893,128.82939391947298,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.49,92.13,-4.0,0.0,-2.0,
1.392,6.665031948648398,93.80307002132639,-0.03816793893129771,0.5114503816793893,0.2366412213740458,171.11461651726958,105.07961947203859,0.0,-0.022900763358778626,0.007633587786259542,-63.8569950736464,166.40880303879462,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,178.62798464347281,129.00446575443857,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.45,92.14,-5.0,-1.0,-3.0,
1.43,6.722022754474497,93.74713836340632,-0.030534351145038167,0.5343511450381679,0.20610687022900764,171.33438711107448,105.25649940888535,0.0,-0.022900763358778626,0.007633587786259542,-63.934636756604554,166.60030148430295,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,178.83404650436262,129.1532768141593,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.37,92.21,-4.0,0.0,-1.0,
1.467,6.770464939426681,93.69959645417427,-0.030534351145038167,0.5343511450381679,0.20610687022900764,171.49381173407616,105.35934606813312,0.0,-0.007633587786259542,0.007633587786259542,-64.00063218711898,166.76307516298502,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,179.00919908611897,129.27976621492195,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.47,92.29,-4.0,2.0,-1.0,
1.505,6.811640796636037,93.65918583132702,-0.030534351145038167,0.5343511450381679,0.20610687022900764,171.60065615054742,105.2948629469466,0.0,-0.0,0.015267175572519083,-64.05672830305626,166.9014327898648,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,179.15807878061185,129.38728220557016,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.48,92.2,-4.0,0.0,-2.0,
1.543,6.84664027526399,93.62483680190687,-0.030534351145038167,0.5343511450381679,0.20610687022900764,171.68491569036317,105.23364581903893,0.0,-0.0,0.0,-64.10441000160294,167.0190367727126,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,179.2846265209308,129.47867079762113,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.57,92.39,-5.0,0.0,-2.0,
1.581,6.87638983209775,93.59564012689974,-0.030534351145038167,0.5343511450381679,0.20610687022900764,171.76162844760165,105.29087848598724,0.0,0.007633587786259542,0.0,-64.14493944536763,167.11900015813325,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,179.39219210020192,129.5563511008645,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.69,92.38,-4.0,0.0,-2.0,
1.619,7.032992612304763,93.4915103455678,-0.030534351145038167,0.4961832061068702,0.22137404580152673,171.82683429125436,105.33952625289331,0.0,0.007633587786259542,0.0,-64.1793894725676,167.20396903574078,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,179.48362284258238,129.62237935862134,-0.061068702290076333,0.030534351145038167,0.19083969465648856,0.0,0.0,0.0,0.0,0.0,65.61,92.24,-5.0,-3.0,-1.0,
1.657,7.166104975480724,93.40300003143565,-0.030534351145038167,0.4961832061068702,0.22137404580152673,171.88225925835917,105.38087685476346,0.0,0.007633587786259542,0.0,-64.20867199568758,167.2761925817072,-0.015267175572519083,-0.022900763358778626,0.007633587786259542,179.56140385910192,129.6784384922185,-0.06870229007633588,0.03816793893129771,0.1984732824427481,0.0,0.0,0.0,0.0,0.0,65.47,92.37,-3.0,2.0,0.0,
1.695,7.27925048418029,93.32776626442333,-0.030534351145038167,0.4961832061068702,0.22137404580152673,171.92937048039826,105.41602486635308,0.0,0.007633587786259542,0.0,-64.1393100070119,167.27941794591678,-0.007633587786259542,-0.03816793893129771,0.03816793893129771,179.62751772314354,129.72608875577606,-0.06870229007633588,0.03816793893129771,0.1984732824427481,0.0,0.0,0.0,0.0,0.0,65.67,92.49,-2.0,7.0,-2.0,
1.733,7.304553188048175,93.34876850531882,-0.030534351145038167,0.4732824427480916,0.22900763358778625,171.96941501913147,105.44590067620427,0.0,0.007633587786259542,0.0,-64.08035231663757,167.28215950549492,-0.007633587786259542,-0.03816793893129771,0.03816793893129771,179.6837145075789,129.7665914798,-0.06870229007633588,0.03816793893129771,0.1984732824427481,0.0,0.0,0.0,0.0,0.0,65.87,92.4,-3.0,2.0,0.0,
