time,t1:pitch,t1:roll,t1:gyrx,t1:gyry,t1:gyrz,t2:pitch,t2:roll,t2:gyrx,t2:gyry,t2:gyrz,k1:pitch,k1:roll,k1:gyrx,k1:gyry,k1:gyrz,k2:pitch,k2:roll,k2:gyrx,k2:gyry,k2:gyrz,W:pitch,W:roll,W:gyrx,W:gyry,W:gyrz,B:pitch,B:roll,B:gyrx,B:gyry,B:gyrz
0.665,-8.00609938487645,116.85918925972683,0.0,-0.0,0.007633587786259542,156.14150144854463,114.4297551195342,0.022900763358778626,0.007633587786259542,0.06870229007633588,-37.462943897931176,135.95905939064778,0.0,-0.0,-0.007633587786259542,147.220578677802,107.06378452299549,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,72.93,86.21,-4.0,1.0,0.0,
0.702,-8.390078840644726,120.34615964538519,0.022900763358778626,-0.030534351145038167,0.030534351145038167,160.9332301449643,117.97122787505458,0.022900763358778626,0.007633587786259542,0.06870229007633588,-38.8250310479397,140.1793962281647,0.0,-0.0,-0.007633587786259542,152.13755677705387,110.50415196590598,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,73.95,87.12,-7.0,5.0,2.0,
0.74,-8.716461378047761,123.31008447319478,0.022900763358778626,-0.030534351145038167,0.030534351145038167,165.00619953692106,120.9814797172469,0.022900763358778626,0.007633587786259542,0.06870229007633588,-39.61710017447466,143.60624692304162,0.0,-0.0,0.0,156.31698816141795,113.42846429237989,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,74.96,88.03,-5.0,0.0,1.0,
0.778,-8.8882822059204,125.77767429758042,0.007633587786259542,-0.030534351145038167,0.022900763358778626,168.46822352008428,123.54019378311037,0.022900763358778626,0.007633587786259542,0.06870229007633588,-40.29035893202936,146.51907001368699,0.0,-0.0,0.0,159.86950483812743,115.91412976988272,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,75.71,88.42,-5.0,4.0,1.0,
0.816,-9.18362985729539,128.08663958081047,0.022900763358778626,-0.061068702290076333,0.0,171.41094390577302,125.71510073909432,0.022900763358778626,0.007633587786259542,0.06870229007633588,-40.86262887595087,148.99496964073555,0.0,-0.0,0.0,162.88914401333048,118.02694542576012,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,76.36,89.19,-5.0,1.0,-2.0,
0.854,-9.434675360964134,130.049260071556,0.022900763358778626,-0.061068702290076333,0.0,173.91225623360845,127.56377165168068,0.022900763358778626,0.007633587786259542,0.06870229007633588,-41.496050730093295,151.17139512356107,-0.007633587786259542,-0.007633587786259542,-0.030534351145038167,165.45583731225307,119.8228387332559,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,76.89,89.53,-5.0,2.0,0.0,
0.892,-9.648064039082564,131.7174874886897,0.022900763358778626,-0.061068702290076333,0.0,176.17430115514142,129.0955384321671,0.12213740458015267,0.03816793893129771,-0.0916030534351145,-42.03445930611436,153.02135678396277,-0.007633587786259542,-0.007633587786259542,-0.030534351145038167,167.63752661633728,121.34934804462733,-0.007633587786259542,0.007633587786259542,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,77.38,90.05,-7.0,2.0,0.0,
0.931,-9.829444415483232,133.13548079325335,0.022900763358778626,-0.061068702290076333,0.0,178.09703933844446,130.39754019558058,0.12213740458015267,0.03816793893129771,-0.0916030534351145,-42.49210659573226,154.59382419530422,-0.007633587786259542,-0.007633587786259542,-0.030534351145038167,169.49215718129742,122.64694584478923,0.0,0.030534351145038167,0.0916030534351145,0.0,0.0,0.0,0.0,0.0,78.01,90.1,-4.0,1.0,0.0,
0.969,-9.983617735423799,134.34077510213245,0.022900763358778626,-0.061068702290076333,0.0,179.80483523397663,131.84278212194005,0.061068702290076333,-0.0,-0.07633587786259542,-42.88110679190748,155.93042149494445,-0.007633587786259542,-0.007633587786259542,-0.030534351145038167,171.06859316151355,123.74990397492684,0.0,0.030534351145038167,0.0916030534351145,0.0,0.0,0.0,0.0,0.0,78.43,90.43,-7.0,2.0,0.0,
1.008,-10.421140451951725,135.54507826535587,0.030534351145038167,-0.03816793893129771,0.007633587786259542,181.25646174517897,133.07123775934562,0.061068702290076333,-0.0,-0.07633587786259542,-43.21175695865641,157.06652919963864,-0.007633587786259542,-0.007633587786259542,-0.030534351145038167,172.40856374469723,124.68741838554381,0.0,0.030534351145038167,0.0916030534351145,0.0,0.0,0.0,0.0,0.0,78.8,90.75,-3.0,0.0,0.0,
